City,before,during,reason,,access,hour work,hour park,desired,importance,why,gender,ethnicity,age,education,employment,marriage,income ,difference,trend
"california,usa",1-2 times/week,1-2 times/week,"Dog Walking, Exercise (e.g. running and hiking), Contemplative space, Time with family",,1,8,5,3,4,is important for we are human we mother is nature,female,1,51,3,Employed part-time (less than 40 hours a week),In a domestic partnership,4,0,1
Indiana,1-2 times/week,1-2 times/week,Time with family;Feel more relaxed and calm,enter above,1,10,3,3,3,that is more like so importent,female,1,30,3,Employed full-time(40+ hours a week),Married,3,0,1
0rwalk,1-2 times/week,1-2 times/week,"Contemplative space, Time with family, Connecting to nature",,1,10,30,1,5,Nature creates peace environment.,male,1,25,3,Employed full-time(40+ hours a week),Married,3,0,1
"LOS ANGELES,california",1-2 times/week,1-2 times/week,"Dog Walking, Exercise (e.g. running and hiking), Time with family, Connecting to nature",,1,5,1,1,3,I think this very important already work in the time in nature and something reason,Female,1,54,3,Employed full-time(40+ hours a week),Married,3,0,1
"stamford ,connecticut",1-2 times/week,1-2 times/week,"Contemplative space, Socializing",,1,3,2,2,4,i like it,female,1,25,3,Employed full-time(40+ hours a week),Married,5,0,1
Wheaton ,3-6 times/week,1-2 times/week,Dog Walking;Exercise (e.g. running and hiking);Just getting outside,keep mind relax,1,8,1,2,5,We are live in competitive world. So health important factor. Specially mind relax very important. This kind of activities help to make mind relaxation.,male,1,37,2,Employed full-time(40+ hours a week),Married,2,-1,1
Texas,3-6 times/week,1-2 times/week,"Dog Walking, Exercise (e.g. running and hiking), Contemplative space",N/A,1,6,2,1,4,"We feel lonely when we are idle, Peace of mind is available if we spend time with nature during that time",Female,1,38,2,Employed full-time(40+ hours a week),Married,2,-1,1
"San Jose,California",3-6 times/week,1-2 times/week,Just getting outside,For relaxation,1,8,2,1,4,Nature gives full of positivity in my mind. It gives a lot of energy .,male,1,42,2,Employed full-time(40+ hours a week),Married,3,-1,1
"Pescara, Italy",3-6 times/week,1-2 times/week,Contemplative space;Socializing;Just getting outside;Connecting to nature,,1,4,2,4,5,Because it makes you feel more relaxed and more at peace with yourself ,Male ,1,26,3,Unemployed (currently looking for work),Single,3,-1,1
"Scotts Valley, CA",Daily,1-2 times/week,"Dog Walking, Exercise (e.g. running and hiking), Time with family",,1,6,1,2,5,It will give me peace and happiness,Female,1,38,2,Employed full-time(40+ hours a week),Married,4,-2,1
"London, UK",Daily,1-2 times/week,Exercise (e.g. running and hiking);Socializing,,1,9,0.5,2,5,Health - physical (vit D) and mental (get away from it all),male,1,23,2,Employed full-time(40+ hours a week),Single,2,-2,1
"Chennai, Tamilnadu",Daily,1-2 times/week,Dog Walking;Exercise (e.g. running and hiking),,1,8,1,3,5,Because it gives peace of mind.,Female,1,27,2,Employed full-time(40+ hours a week),Single,1,-2,1
"Ponder, Texas",Daily,1-2 times/week,Dog Walking;Exercise (e.g. running and hiking);Socializing;Feel more relaxed and calm;Just getting outside;Connecting to nature;Reduce stress and anxiety,,1,8,2,0,5,We are the part of nature. We should live with nature.,Female,1,43,3,Employed full-time(40+ hours a week),Married,4,-2,1
"Montreal, quebec",1-2 times/month,1-2 times/yr,Time with family;Feel more relaxed and calm;Connecting to nature;Reduce stress and anxiety,,1,7,1,7,5,To clean my e1 from the crowd of the city,Female,1,31,2,Self-employed,Married,3,-1,1
"Lexington, Kentucky",1-2 times/month,1-2 times/yr,Exercise (e.g. running and hiking);Just getting outside,,1,8,0,1,4,good for mental health,Male,1,29,2,Employed full-time(40+ hours a week),Single,3,-1,1
"Denver, Colorado",1-2 times/month,1-2 times/yr,"Exercise (e.g. running and hiking), Just getting outside",,1,9,0,1,4,Because you are 0t constraint to the visuals of your home and your imagination would me more stimulating.,Male,1,31,2,Employed full-time(40+ hours a week),In a domestic partnership,3,-1,1
"East Haven, Connecticut",1-2 times/month,1-2 times/yr,Exercise (e.g. running and hiking);Socializing;Just getting outside,,1,10,1,2,5,"It is healthier, helps you get some vitamin D and it reduces stress from constant tech0logy use.",female,1,52,4,Self-employed,Divorced,2,-1,1
"New York, NY",1-2 times/month,1-2 times/yr,"Exercise (e.g. running and hiking), Contemplative space, Feel more relaxed and calm, Just getting outside, Connecting to nature, Reduce stress and anxiety",,1,8,0.5,1,5,"It is important because when you are outside, you get fresh air and you become less stressed.",male,1,33,3,Employed full-time(40+ hours a week),Married,3,-1,1
"Rowland,0rth Carolina",1-2 times/week,1-2 times/yr,"Dog Walking, Socializing, Feel more relaxed and calm",feel happy and time spend with family,1,9,0.5,0.25,5,We can relax our mind while spend the time with nature.And also take some social responses for safe our nature like maintain planting.,male,1,43,2,Employed full-time(40+ hours a week),Married,3,-2,1
"Freeport, TX",1-2 times/week,1-2 times/yr,Dog Walking;Exercise (e.g. running and hiking);Time with family;Just getting outside;Connecting to nature,meditations,1,8,0,1,5,"It is good to get sunshine and help boost our natural vitamin D levels. Also, spending time in nature helps us gain a sense of peace and happiness, especially during these trying times.",male,1,32,1,Employed full-time(40+ hours a week),Married,2,-2,1
"Rosate, Italy",1-2 times/week,3-6 times/week,Dog Walking;Exercise (e.g. running and hiking);Time with family;Feel more relaxed and calm;Connecting to nature,,1,0,2,2,5,"It helps me get calm and feel relaxed, it helps me get focused and free my mind, it energize me and definitely I find it foundamental during this time cause I'm constantly home!
I feel better when turning back home, it renews my energy and I come back home feeling ready to focus on my projects",female,1,30,1,Unemployed (currently looking for work),Single,2,1,1
maryland,1-2 times/week,3-6 times/week,Exercise (e.g. running and hiking);Socializing,enter above,1,4,2,3,3,very like so too importent,male,1,30,3,Employed full-time(40+ hours a week),Married,2,1,1
"brooklyn,newyork",3-6 times/week,3-6 times/week,Exercise (e.g. running and hiking);Contemplative space;Time with family,,1,5,5,5,5,natural breathing is very important,male,1,26,2,Employed full-time(40+ hours a week),Married,2,0,1
rochester ny,3-6 times/week,3-6 times/week,Dog Walking;Exercise (e.g. running and hiking);Socializing;Feel more relaxed and calm;Just getting outside,,1,3,1,1,4,It helps you connect with nature and relax.,female,1,23,2,Employed part-time (less than 40 hours a week),Married,2,0,1
Georgia,3-6 times/week,3-6 times/week,"Exercise (e.g. running and hiking), Contemplative space, Socializing",N/A,1,6,3,1,4," when We feel lonely when we are idle, Peace of mind is available if we spend time with nature during that time",Female,1,47,2,Employed full-time(40+ hours a week),Married,2,0,1
CA,3-6 times/week,3-6 times/week,"Dog Walking, Exercise (e.g. running and hiking), Contemplative space, Time with family, Socializing",0,1,15,5,5,5,"1 IT IS IMPORTANT ,SPENDING TIME WITH NATURE MAKE LIFE WITH HAPPY.",MALE,1,35,2,Employed full-time(40+ hours a week),Married,2,0,1
md,3-6 times/week,3-6 times/week,Contemplative space;Time with family,,1,2,2,2,4,it is very much important and its our diuty,male,1,28,4,Employed full-time(40+ hours a week),Married,3,0,1
"Long Valley, NJ",3-6 times/week,3-6 times/week,Exercise (e.g. running and hiking);Contemplative space;Feel more relaxed and calm;Just getting outside;Connecting to nature,,1,4,2,3,5,"I think that just getting outside and getting sunlight and fresh air is good for your health, as well as being good for relieving stress.",Male,1,29,1,Self-employed,Single,3,0,1
"Washington, New York",3-6 times/week,3-6 times/week,Exercise (e.g. running and hiking);Socializing;Feel more relaxed and calm,0ne,1,12,5,8,5,It helps me to relax and more calm. It gives me a peaceful mind.,male,1,30,3,Employed full-time(40+ hours a week),Married,2,0,1
"Wichita, KS",3-6 times/week,3-6 times/week,Dog Walking;Exercise (e.g. running and hiking),,1,8,0.5,1,5,"I think it is essential to get fresh air, and exercise. It's also important for my pet and nature.",Male,1,30,3,Employed full-time(40+ hours a week),Married,3,0,1
"md,usa",3-6 times/week,3-6 times/week,"Socializing, Feel more relaxed and calm, Just getting outside",,1,8,3,3,5,i love nature is important in every one life,female,1,41,3,Employed part-time (less than 40 hours a week),Married,5,0,1
"Birmingham, AL",Daily,3-6 times/week,Exercise (e.g. running and hiking);Feel more relaxed and calm,,1,6,1,2,5,Get all services in one place.,fEMALE,1,57,2,Employed full-time(40+ hours a week),Married,3,-1,1
"Newyork, USA ",Daily,3-6 times/week,"Dog Walking, Exercise (e.g. running and hiking), Socializing",,1,3,1,1,5,"Parks are Produced public lands are proven to improve water quality , produced groud water",Male,1,32,2,Employed full-time(40+ hours a week),Married,3,-1,1
"Alabama , USA",Daily,3-6 times/week,"Dog Walking, Time with family, Socializing",,1,3,2,1,5,Its Very Important Spend to nature.. During covid time very important spend nature.. time with our family nature love..,Male,1,32,3,Employed full-time(40+ hours a week),Married,4,-1,1
"Alabama , USA",Daily,3-6 times/week,"Dog Walking, Socializing, Feel more relaxed and calm",,1,3,2,1,5,To live a Healthy Life without any stress...Stress reduce One off most well-k0wn Benefits o being in spend in Nature.. Then Improve Short term and Working Memory..,Male,1,32,3,Employed full-time(40+ hours a week),Married,3,-1,1
"Messina, Italy",1-2 times/week,Daily,Exercise (e.g. running and hiking);Contemplative space;Socializing,"0, 0thing",1,3,1,3,5,"it's important because it makes you feel good, and it's as if it benefits your soul",Male,1,34,2,Employed full-time(40+ hours a week),Married,4,2,1
"Cleveland,ohio",1-2 times/week,Daily,Time with family,very joyful,1,4,3,2,4,i like it,female,1,25,3,Employed full-time(40+ hours a week),Married,3,2,1
NEW YORK USA,3-6 times/week,Daily,Exercise (e.g. running and hiking);Contemplative space;Socializing;Feel more relaxed and calm;Connecting to nature,,1,8,0.5,0.5,4,UNIMPORTANT,male,1,45,2,Employed full-time(40+ hours a week),Married,4,1,1
"Roseville, CA",3-6 times/week,Daily,Dog Walking;Contemplative space;Feel more relaxed and calm;Just getting outside;Connecting to nature;Reduce stress and anxiety,"It gives me a chance to interact with other people in a safe way, being outside. ",1,0,1,2,5,"It's what keeps me sane! Being out in nature is very calming. When the weather is bad, I even  go on drives out in the country areas near my town. I take photos of birds and wildlife. ",Female,1,66,2,Retired,Single,2,1,1
"Alabama , USA",3-6 times/week,Daily,"Dog Walking, Exercise (e.g. running and hiking), Time with family, Feel more relaxed and calm",,1,3,2,1,5,To live a Healthy Life with out any Stress .. Stress reduce one of most well k0wn benefits to them being in spend time in Nature. Then Very Improve short term and working memory..,Male,1,32,3,Employed full-time(40+ hours a week),Married,3,1,1
brooklyn,Daily,Daily,Dog Walking;Exercise (e.g. running and hiking);Contemplative space;Time with family;Socializing,,1,5,5,5,5,naturlal brathing is important so go out site ,male,1,26,2,Employed full-time(40+ hours a week),Married,2,0,1
"Albany, New York",Daily,Daily,Exercise (e.g. running and hiking);Contemplative space;Feel more relaxed and calm;Connecting to nature,,1,5,1,3,5,"It reduces stress being outside and appreciating growing things, the sunlight, the breeze, even the rain or s0w. It brings things back into perspective.",female,1,68,2,Employed part-time (less than 40 hours a week),Divorced,2,0,1
"brooklyn,newyork",Daily,Daily,Dog Walking;Exercise (e.g. running and hiking);Contemplative space;Time with family;Socializing;Feel more relaxed and calm;Just getting outside,,1,5,6,5,5,dog walking very important to both of hims so natural things is good,male,1,23,2,Employed full-time(40+ hours a week),Married,3,0,1
